settlement_id,gateway_transaction_id,net_settled_amount,bank_reference_number,settlement_status,settled_at
set_Bnk9x2001,pay_Gz8x1001,38261,UTR721609600,processed,02-09-2026 12:00
set_Bnk9x2002,pay_Gz8x1002,80161,UTR738360085,processed,02-09-2026 14:00
set_Bnk9x2003,pay_Gz8x1003,45481,UTR142672287,processed,02-09-2026 16:00
set_Bnk9x2004,pay_Gz8x1004,32018,UTR765055833,processed,02-09-2026 18:00
set_Bnk9x2005,pay_Gz8x1005,17900,UTR188029013,processed,02-09-2026 20:00
set_Bnk9x2006,pay_Gz8x1006,65726,UTR550139320,processed,02-09-2026 22:00
set_Bnk9x2007,pay_Gz8x1007,16556,UTR805849060,processed,03-09-2026 00:00
set_Bnk9x2008,pay_Gz8x1008,117144,UTR726713347,processed,03-09-2026 02:00
set_Bnk9x2009,pay_Gz8x1009,80970,UTR706907788,processed,03-09-2026 04:00
set_Bnk9x2010,pay_Gz8x1010,117936,UTR661333669,processed,03-09-2026 06:00
set_Bnk9x2011,pay_Gz8x1011,49561,UTR439699535,processed,03-09-2026 08:00
set_Bnk9x2013,pay_Gz8x1013,34519,UTR379995032,processed,03-09-2026 12:00
set_Bnk9x2014,pay_Gz8x1014,77471,UTR319321646,processed,03-09-2026 14:00
set_Bnk9x2015,pay_Gz8x1015,127358,UTR819112790,processed,03-09-2026 16:00
set_Bnk9x2016,pay_Gz8x1016,106653,UTR869005091,processed,03-09-2026 18:00
set_Bnk9x2017,pay_Gz8x1017,84805,UTR437352358,processed,03-09-2026 20:00
set_Bnk9x2018,pay_Gz8x1018,58982,UTR356287095,processed,03-09-2026 22:00
set_Bnk9x2019,pay_Gz8x1019,68098,UTR385201412,processed,04-09-2026 00:00
set_Bnk9x2020,pay_Gz8x1020,69349,UTR524971817,processed,04-09-2026 02:00
set_Bnk9x2022,pay_Gz8x1022,103146,UTR240529481,processed,04-09-2026 06:00
set_Bnk9x2023,pay_Gz8x1023,100699,UTR821221887,processed,04-09-2026 08:00
set_Bnk9x2024,pay_Gz8x1024,78100,UTR793101194,processed,04-09-2026 10:00
set_Bnk9x2026,pay_Gz8x1026,72426,UTR422119408,processed,04-09-2026 14:00
set_Bnk9x2027,pay_Gz8x1027,106888,UTR590941149,processed,04-09-2026 16:00
set_Bnk9x2028,pay_Gz8x1028,65976,UTR439492674,processed,04-09-2026 18:00
set_Bnk9x2029,pay_Gz8x1029,68391,UTR907308348,processed,04-09-2026 20:00
set_Bnk9x2030,pay_Gz8x1030,112445,UTR177892576,processed,04-09-2026 22:00
set_Bnk9x2031,pay_Gz8x1031,63766,UTR110002396,processed,05-09-2026 00:00
set_Bnk9x2032,pay_Gz8x1032,90309,UTR592080329,processed,05-09-2026 02:00
set_Bnk9x2034,pay_Gz8x1034,127212,UTR766964667,processed,05-09-2026 06:00
set_Bnk9x2035,pay_Gz8x1035,45504,UTR704509817,processed,05-09-2026 08:00
set_Bnk9x2036,pay_Gz8x1036,77016,UTR207354053,processed,05-09-2026 10:00
set_Bnk9x2037,pay_Gz8x1037,111994,UTR178663096,processed,05-09-2026 12:00
set_Bnk9x2038,pay_Gz8x1038,45171,UTR677280546,processed,05-09-2026 14:00
set_Bnk9x2039,pay_Gz8x1039,33034,UTR328872698,processed,05-09-2026 16:00
set_Bnk9x2040,pay_Gz8x1040,48885,UTR643189555,processed,05-09-2026 18:00
set_Bnk9x2041,pay_Gz8x1041,117819,UTR384756779,processed,05-09-2026 20:00
