transaction_id,timestamp,gateway_name,merchant_id,amount,currency,payment_method,status,error_code,settlement_status
tx_95822412,2026-09-04T11:49:00Z,Stripe,mer_33211,416.17,EUR,Debit Card,Refunded,None,Settled
tx_23756669,2026-09-05T07:06:00Z,CheckoutCom,mer_77481,134.97,CAD,Credit Card,Success,None,Settled
tx_39345092,2026-09-04T15:57:00Z,Braintree,mer_77481,44.67,EUR,Debit Card,Success,None,Settled
tx_89089901,2026-09-04T17:30:00Z,Stripe,mer_22104,1048.72,GBP,Apple Pay,Success,None,Settled
tx_55176955,2026-09-04T11:30:00Z,Stripe,mer_11023,149.59,GBP,Apple Pay,Success,None,Pending
tx_71662963,2026-09-05T02:19:00Z,Stripe,mer_11023,122.81,GBP,Apple Pay,Failed,err_expired_card,Unsettled
tx_19335534,2026-09-04T09:34:00Z,CheckoutCom,mer_22104,1160.74,USD,Credit Card,Success,None,Settled
tx_47308985,2026-09-04T23:29:00Z,CheckoutCom,mer_44129,248.17,GBP,Credit Card,Refunded,None,Settled
tx_45833156,2026-09-05T07:58:00Z,CheckoutCom,mer_33211,111.75,SGD,Credit Card,Failed,err_user_cancelled,Unsettled
tx_42857966,2026-09-04T13:35:00Z,AuthorizeNet,mer_11023,408.57,SGD,Credit Card,Refunded,None,Settled
tx_53524491,2026-09-04T09:55:00Z,PayPal,mer_88310,1208.54,CAD,Credit Card,Success,None,Settled
tx_86125617,2026-09-04T18:45:00Z,PayPal,mer_33211,751.35,SGD,Credit Card,Success,None,Settled
tx_28740864,2026-09-04T16:26:00Z,CheckoutCom,mer_77481,810.77,SGD,Debit Card,Failed,err_suspected_fraud,Unsettled
tx_58586340,2026-09-04T15:30:00Z,PayPal,mer_77481,742.81,USD,PayPal Wallet,Success,None,Pending
tx_31472420,2026-09-05T07:14:00Z,AuthorizeNet,mer_77481,99.97,CAD,Debit Card,Failed,err_cvv_mismatch,Unsettled
tx_84252722,2026-09-04T08:24:00Z,CheckoutCom,mer_33211,176.25,AUD,Debit Card,Refunded,None,Settled
tx_55657579,2026-09-04T11:49:00Z,Adyen,mer_11023,241.45,USD,Klarna,Failed,err_expired_card,Unsettled
tx_78139880,2026-09-04T11:38:00Z,CheckoutCom,mer_44129,1263.3,AUD,Credit Card,Success,None,Settled
tx_31682744,2026-09-05T02:25:00Z,Braintree,mer_88310,900.42,CAD,Credit Card,Success,None,Settled
tx_51273847,2026-09-04T16:11:00Z,Stripe,mer_22104,1317.62,USD,Credit Card,Refunded,None,Settled
tx_75228535,2026-09-04T10:22:00Z,Braintree,mer_22104,196.95,CAD,Google Pay,Success,None,Pending
tx_91415657,2026-09-04T22:27:00Z,PayPal,mer_77481,1134.12,SGD,PayPal Wallet,Refunded,None,Settled
tx_51837852,2026-09-04T21:38:00Z,CheckoutCom,mer_33211,563.26,AUD,Debit Card,Success,None,Settled
tx_40158366,2026-09-04T10:12:00Z,Adyen,mer_88310,884.52,EUR,Apple Pay,Success,None,Settled
tx_94705205,2026-09-04T10:01:00Z,PayPal,mer_88310,1358.6,GBP,PayPal Wallet,Failed,err_expired_card,Unsettled
