record_id,timestamp,source_system,transaction_id,amount,currency,status,account_id,fee_charged
REC-001,2026-09-05T07:50:00Z,GATEWAY,tx_gwy_42098,891.15,USD,SUCCESS,acc_usr_2824,26.73
REC-002,2026-09-05T07:50:01Z,BANK,tx_bnk_39256,891.15,USD,SETTLED,acc_usr_2824,24.95
REC-003,2026-09-05T07:50:00Z,LEDGER,tx_gwy_42098,891.15,USD,POSTED,acc_usr_2824,0
REC-004,2026-09-05T09:06:00Z,GATEWAY,tx_gwy_14165,710.64,USD,SUCCESS,acc_usr_9935,21.32
REC-005,2026-09-05T09:06:02Z,BANK,tx_bnk_13905,710.64,USD,SETTLED,acc_usr_9935,19.9
REC-006,2026-09-05T09:06:00Z,LEDGER,tx_gwy_14165,710.64,USD,POSTED,acc_usr_9935,0
REC-007,2026-09-05T03:15:00Z,GATEWAY,tx_gwy_95181,242.61,GBP,SUCCESS,acc_usr_1434,7.28
REC-008,2026-09-05T03:15:04Z,BANK,tx_bnk_81426,242.61,GBP,SETTLED,acc_usr_1434,6.79
REC-009,2026-09-05T03:15:00Z,LEDGER,tx_gwy_95181,242.61,GBP,POSTED,acc_usr_1434,0
REC-010,2026-09-05T06:07:00Z,GATEWAY,tx_gwy_30926,911.77,USD,SUCCESS,acc_usr_5557,27.35
REC-011,2026-09-05T06:07:02Z,BANK,tx_bnk_65392,911.77,USD,SETTLED,acc_usr_5557,25.53
REC-012,2026-09-05T06:07:00Z,LEDGER,tx_gwy_30926,911.77,USD,POSTED,acc_usr_5557,0
REC-013,2026-09-04T17:21:00Z,GATEWAY,tx_gwy_22676,115.83,USD,FAILED,acc_usr_6514,0
REC-014,2026-09-04T17:21:00Z,LEDGER,tx_gwy_22676,115.83,USD,DECLINED,acc_usr_6514,0
REC-015,2026-09-05T06:37:00Z,GATEWAY,tx_gwy_80284,877.03,USD,SUCCESS,acc_usr_5333,26.31
REC-016,2026-09-07T06:37:00Z,BANK,tx_bnk_26361,877.03,USD,SETTLED,acc_usr_5333,24.56
REC-017,2026-09-05T06:37:00Z,LEDGER,tx_gwy_80284,877.03,USD,POSTED,acc_usr_5333,0
REC-018,2026-09-04T22:56:00Z,GATEWAY,tx_gwy_92397,355.35,GBP,SUCCESS,acc_usr_2291,10.66
REC-019,2026-09-04T22:56:00Z,LEDGER,tx_gwy_92397,355.35,GBP,POSTED,acc_usr_2291,0
REC-020,2026-09-04T22:21:00Z,GATEWAY,tx_gwy_96673,88.12,GBP,FAILED,acc_usr_4150,0
REC-021,2026-09-04T22:21:00Z,LEDGER,tx_gwy_96673,88.12,GBP,DECLINED,acc_usr_4150,0
REC-022,2026-09-04T12:44:00Z,GATEWAY,tx_gwy_69429,459.25,USD,FAILED,acc_usr_4814,0
REC-023,2026-09-04T12:44:00Z,LEDGER,tx_gwy_69429,459.25,USD,DECLINED,acc_usr_4814,0
REC-024,2026-09-04T15:34:00Z,GATEWAY,tx_gwy_44993,255.36,EUR,SUCCESS,acc_usr_7065,7.66
REC-025,2026-09-04T15:34:05Z,BANK,tx_bnk_99593,255.36,EUR,SETTLED,acc_usr_7065,7.15
